,Source,Text,Date,Compound Score,Positive Score,Neutral Score,Negative Score
57,BBC,RT @BBCFOUR: One of the most inspiring stories in human history. Masters of the Pacific Coast: The Tribes of the American Northwest. Tonigh…,Sat Mar 03 15:26:39 +0000 2018,0.4754,0.123,0.877,0.0
58,BBC,RT @BBC100women: For a film to pass the Bechdel Test it needs to feature two women ? talking to each other ?? about something other than a…,Sat Mar 03 15:07:50 +0000 2018,0.0,0.0,1.0,0.0
59,BBC,RT @bbcweather: Some parts of the UK have seen freezing rain in the last 24 hours - a beautiful but dangerous weather phenomenon. https://t…,Sat Mar 03 15:07:40 +0000 2018,-0.4404,0.091,0.709,0.2
60,BBC,'There is no such thing as cheap seafood because it comes at a price we can't ever repay.' https://t.co/8tCZay8iOz,Sat Mar 03 15:00:07 +0000 2018,-0.296,0.0,0.885,0.115
61,BBC,"Zig-A-Zig Whaaaaa?
How scary is your knowledge of the Spice Girls? 
? https://t.co/JZAjDNrldQ https://t.co/FXy5nVK7nj",Sat Mar 03 13:30:04 +0000 2018,-0.5514,0.0,0.771,0.229
62,BBC,RT @bbcideas: What do we know about the earliest known representations of the human face? ? https://t.co/PDgFTpPOqi https://t.co/kls7Xu0Ui9,Sat Mar 03 12:30:30 +0000 2018,0.0,0.0,1.0,0.0
63,BBC,How to avoid these ??https://t.co/RJj25ysPsq,Sat Mar 03 12:00:04 +0000 2018,-0.296,0.0,0.645,0.355
64,BBC,"RT @bbccomedy: What happens when you ask @JohnCleese, Alison Steadman and @Jason__Watkins ridiculous questions? ??#HoldTheSunset https://t.…",Sat Mar 03 11:29:49 +0000 2018,-0.3612,0.0,0.857,0.143
65,BBC,"Happy Birthday, @Camila_Cabello!?

For all of her latest @BBCR1 interviews and performances check out:… https://t.co/mTSDDK6YeF",Sat Mar 03 11:18:14 +0000 2018,0.6114,0.222,0.778,0.0
66,BBC,"? From The Terror to the return of Atlanta and @Marvel’s Jessica Jones, here are the TV shows worth seeing in March… https://t.co/i6mIgZGqB7",Sat Mar 03 11:00:11 +0000 2018,-0.3612,0.075,0.791,0.134
67,BBC,"RT @BBCEarth: Today is #WorldWildlifeDay celebrating the world’s big cats. 

DYK: black panthers in Asia and Africa are leopards and those…",Sat Mar 03 10:42:24 +0000 2018,0.5719,0.156,0.844,0.0
68,BBC,"RT @TWBBC: By 2050, 30-50% of all species could be heading towards extinction. 
Take a moment this #WorldWildlifeDay to learn more ???? 
#m…",Sat Mar 03 10:41:48 +0000 2018,0.0,0.0,1.0,0.0
69,BBC,Learning to play the bagpipes can be quite a challenge - and it's even harder if you only have the use of one hand!  https://t.co/PGI8ZPFNUW,Sat Mar 03 10:00:04 +0000 2018,0.7569,0.272,0.728,0.0
70,BBC,"RT @BBCSpringwatch: Never mind the snow, Saturday morning lie-ins be like... ? #weekend #saturday #UKsnow #Winterwatch https://t.co/QueQ6ff…",Sat Mar 03 09:39:33 +0000 2018,0.0,0.0,1.0,0.0
71,BBC,RT @bbcthree: actual footage of me this morning https://t.co/e9vmltkcc3,Sat Mar 03 09:39:27 +0000 2018,0.0,0.0,1.0,0.0
72,BBC,"Mary Beard opens up about her new series, the nature of civilisation and the significance of a face-to-face encount… https://t.co/OIg0ZgPgcc",Sat Mar 03 09:00:07 +0000 2018,0.2732,0.104,0.896,0.0
73,BBC,"RT @BBCOne: .@JohnTorode1 makes terrible beans on toast, isn't that right @GreggAWallace? ? @Masterchefuk https://t.co/ZsUcJAWZWX",Fri Mar 02 20:35:03 +0000 2018,-0.4767,0.0,0.807,0.193
